departamento,monto,F,M
Capital,4000,2767,235
Capital,6000,1132,70
General Alvear,4000,1581,64
General Alvear,6000,620,16
Godoy Cruz,4000,4445,418
Godoy Cruz,6000,1733,103
Guaymallén,4000,5740,461
Guaymallén,6000,2437,131
Junín,4000,1235,133
Junín,6000,457,37
La Paz,4000,1789,145
La Paz,6000,748,46
Las Heras,4000,7098,568
Las Heras,6000,3108,153
Lavalle,4000,1850,139
Lavalle,6000,775,43
Luján de Cuyo,4000,3305,365
Luján de Cuyo,6000,1375,126
Maipú,4000,6052,487
Maipú,6000,2326,158
Malargüe,4000,858,53
Malargüe,6000,307,17
Rivadavia,4000,1839,164
Rivadavia,6000,764,58
San Carlos,4000,1183,94
San Carlos,6000,493,20
San Martín,4000,3819,369
San Martín,6000,1651,121
San Rafael,4000,5507,392
San Rafael,6000,2344,128
Santa Rosa,4000,479,47
Santa Rosa,6000,192,11
Tunuyán,4000,1809,166
Tunuyán,6000,746,52
Tupungato,4000,2788,280
Tupungato,6000,1121,64
